date,expiry,T,bates_v0,bates_kappa,bates_theta,bates_sigma_v,bates_rho,bates_lam,bates_muJ,bates_delta,bates_rmse,sabr_rmse,js_rmse
2024-07-19,2024-12-27,0.4408,0.4733,0.8859,0.4248,1.6904,0.1756,0.4999,0.0001,0.0988,0.003512,0.003418,0.003402
2024-07-26,2024-10-25,0.2491,0.4118,1.0005,0.1029,0.9864,0.2741,0.4999,-0.0001,0.0994,0.002413,0.002425,0.002396
2024-07-26,2024-12-27,0.4216,0.4025,1.0051,0.5062,0.9693,0.2041,0.4999,-0.0001,0.0993,0.002585,0.002508,0.002503
2024-07-26,2024-09-27,0.1725,0.4144,0.9649,0.0556,1.8186,0.1583,0.4999,0.0001,0.0994,0.002813,0.003121,0.003121
2024-07-26,2024-08-09,0.0383,0.477,7.9604,0.2617,4.9212,0.172,0.4891,-0.1247,0.0001,0.007756,0.006637,0.008308
2024-07-26,2024-08-16,0.0575,0.4157,0.9957,0.0438,3.2188,0.0994,0.4999,-0.0001,0.0994,0.009086,0.008011,0.007092
2024-07-26,2024-08-02,0.0192,0.5106,7.984,0.0002,5.0,0.2787,0.5793,-0.198,0.5361,0.007626,0.007702,0.010515
2024-07-26,2024-08-30,0.0958,0.4342,2.9641,0.0002,2.3171,0.1534,0.4999,-0.0001,0.0994,0.005731,0.005672,0.005735
2024-08-02,2024-08-09,0.0192,0.0001,8.0204,2.3381,0.2561,0.8168,1.5769,-0.2401,0.2307,0.017991,0.020328,0.016396
2024-08-02,2024-08-16,0.0383,0.0001,8.1007,1.6375,3.638,-0.4026,0.1787,0.2677,0.0698,0.012784,0.013344,0.013023
2024-08-02,2024-08-23,0.0575,0.3327,7.9031,0.0002,3.877,-0.3255,0.4999,-0.0013,0.097,0.007164,0.008842,0.007455
2024-08-02,2024-08-30,0.0767,0.3258,7.944,0.032,2.8059,-0.1788,0.4998,-0.0018,0.0976,0.010521,0.010357,0.010387
