date,expiry,T,T_bucket,beta,sabr_rmse,js_rmse
2024-05-10,2024-05-24,0.0383299110198494,Short,0.5,0.3539951606363515,0.041590067057081084
2024-05-10,2024-05-24,0.0383299110198494,Short,0.7,0.16919262268042723,0.04712943014820012
2024-05-10,2024-05-24,0.0383299110198494,Short,1.0,0.006649944669781905,0.006650148917093457
2024-09-27,2024-10-18,0.0574948665297741,Short,0.5,0.3671388403651893,0.13234937848650785
2024-09-27,2024-10-18,0.0574948665297741,Short,0.7,0.19348129103279751,0.05068412708621332
2024-09-27,2024-10-18,0.0574948665297741,Short,1.0,0.004463185948488748,0.0044666325011607465
2025-06-27,2025-07-04,0.0191649555099247,Short,0.5,0.27815473319053063,0.20638967012165182
2025-06-27,2025-07-04,0.0191649555099247,Short,0.7,0.12429521332696501,0.05709770919874381
2025-06-27,2025-07-04,0.0191649555099247,Short,1.0,0.02448654414680732,0.024486586278900616
2024-04-19,2024-05-03,0.0383299110198494,Short,0.5,0.5648051998751069,0.09228420024191109
2024-04-19,2024-05-03,0.0383299110198494,Short,0.7,0.37013685313960626,0.09834403154883299
2024-04-19,2024-05-03,0.0383299110198494,Short,1.0,0.01035971265633106,0.010361750447212109
2025-02-28,2025-03-28,0.0766598220396988,Short,0.5,0.3644708330475769,
2025-02-28,2025-03-28,0.0766598220396988,Short,0.7,0.18490656556028062,0.17629707818692392
2025-02-28,2025-03-28,0.0766598220396988,Short,1.0,0.013891501240138817,0.013891987108631957
2025-09-19,2025-10-03,0.0383299110198494,Short,0.5,0.24523013531706347,0.08272422364869038
2025-09-19,2025-10-03,0.0383299110198494,Short,0.7,0.10964855492314084,0.013119851576956793
2025-09-19,2025-10-03,0.0383299110198494,Short,1.0,0.003982457680879377,0.003983858498698659
2024-07-05,2024-07-26,0.0574948665297741,Short,0.5,0.35836927933026014,0.14803968822873162
2024-07-05,2024-07-26,0.0574948665297741,Short,0.7,0.17938689833774968,0.06840403015185333
2024-07-05,2024-07-26,0.0574948665297741,Short,1.0,0.016414536797193797,0.01641533766713835
2024-03-01,2024-03-08,0.0191649555099247,Short,0.5,0.5510304008369498,
2024-03-01,2024-03-08,0.0191649555099247,Short,0.7,0.3830328372169469,
2024-03-01,2024-03-08,0.0191649555099247,Short,1.0,0.020269964053928755,0.019578443057768496
2025-07-04,2025-07-11,0.0191649555099247,Short,0.5,0.29273645477124915,
2025-07-04,2025-07-11,0.0191649555099247,Short,0.7,0.1432075513856429,
2025-07-04,2025-07-11,0.0191649555099247,Short,1.0,0.02472899574667585,0.024729007467328885
2024-01-26,2024-02-02,0.0191649555099247,Short,0.5,0.32610269864734925,0.24225176845970525
2024-01-26,2024-02-02,0.0191649555099247,Short,0.7,0.12308267630907002,0.03787831280596392
2024-01-26,2024-02-02,0.0191649555099247,Short,1.0,0.01938486685655323,0.01938383333230369
2024-08-02,2024-08-16,0.0383299110198494,Short,0.5,0.33015730044915087,0.040565617875383944
2024-08-02,2024-08-16,0.0383299110198494,Short,0.7,0.14137348735330077,0.04808455061847027
2024-08-02,2024-08-16,0.0383299110198494,Short,1.0,0.013344098555254508,0.013340956495932133
2025-03-28,2025-04-25,0.0766598220396988,Short,0.5,0.3319646566439505,
2025-03-28,2025-04-25,0.0766598220396988,Short,0.7,0.1668629200146108,0.031386977221933385
2025-03-28,2025-04-25,0.0766598220396988,Short,1.0,0.011253747039058874,0.011255276833090064
2025-07-18,2025-08-29,0.1149897330595482,Medium,0.5,0.2657522070469184,
2025-07-18,2025-08-29,0.1149897330595482,Medium,0.7,0.11465279925370502,0.0527344511964682
2025-07-18,2025-08-29,0.1149897330595482,Medium,1.0,0.005195991550859498,0.005197738456064501
2024-11-29,2025-01-31,0.1724845995893223,Medium,0.5,0.4341162662111323,0.019426405925263686
2024-11-29,2025-01-31,0.1724845995893223,Medium,0.7,0.24569773578033502,0.07363866782648217
2024-11-29,2025-01-31,0.1724845995893223,Medium,1.0,0.0032877344301616112,0.003295203313784773
2026-03-06,2026-04-24,0.1341546885694729,Medium,0.5,0.33229371966695925,0.055403601717174816
2026-03-06,2026-04-24,0.1341546885694729,Medium,0.7,0.17041690527427936,0.08843218377958038
2026-03-06,2026-04-24,0.1341546885694729,Medium,1.0,0.005517061692980398,0.0055205263409188726
2026-03-13,2026-05-29,0.2108145106091718,Medium,0.5,0.31603008375964636,0.08724094313681535
2026-03-13,2026-05-29,0.2108145106091718,Medium,0.7,0.16466313057733206,0.0718190815959674
2026-03-13,2026-05-29,0.2108145106091718,Medium,1.0,0.00434022488982581,0.00434380603473569
