date,expiry,T,merton_sigma,merton_lam,merton_muJ,merton_delta,merton_rmse,sabr_rmse,js_rmse
2024-05-24,2024-07-26,0.1725,0.461,1.006,-0.1,0.4028,0.007505,0.006445,0.006463
2024-05-24,2024-09-27,0.345,0.4769,1.0147,0.1,0.4375,0.007954,0.004028,0.003805
2024-05-31,2024-07-26,0.1533,0.4525,1.0103,0.1,0.3495,0.003436,0.003397,0.003383
2024-05-31,2024-08-30,0.2491,0.4726,1.0162,0.1,0.3675,0.003296,0.003353,0.003353
2024-05-31,2024-06-28,0.0767,0.4392,1.0077,-0.1,0.2922,0.008613,0.004343,0.004343
2024-05-31,2024-09-27,0.3258,0.4696,1.0176,-0.1,0.4172,0.004727,0.003189,0.003081
2024-05-31,2024-06-14,0.0383,0.4348,1.0012,-0.1,0.1846,0.005034,0.00645,0.005098
2024-05-31,2024-06-21,0.0575,0.4434,1.0013,-0.1,0.1943,0.00421,0.003605,0.003958
2024-05-31,2024-06-07,0.0192,0.4084,1.0013,0.1,0.1448,0.010375,0.014506,0.009901
2024-06-07,2024-06-14,0.0192,0.3951,6.3753,-0.1,0.1004,0.012439,0.010793,0.008271
2024-06-07,2024-06-21,0.0383,0.4107,5.0735,-0.1,0.1166,0.010805,0.010317,0.010306
2024-06-07,2024-06-28,0.0575,0.4528,1.0022,-0.1,0.2684,0.016973,0.017292,0.017292
2024-06-07,2024-07-26,0.1342,0.4502,1.0107,0.1,0.3477,0.006856,0.005188,0.005147
2024-06-07,2024-08-30,0.23,0.4398,1.0167,-0.1,0.4243,0.003429,0.004107,0.002941
2024-06-07,2024-09-27,0.3066,0.4879,1.0154,-0.1,0.3598,0.011646,0.005237,0.005237
2024-06-14,2024-07-26,0.115,0.4091,1.0084,0.1,0.3143,0.006159,0.006973,0.006974
2024-06-14,2024-09-27,0.2875,0.4154,1.0185,0.1,0.4313,0.005184,0.00385,0.003842
2024-06-14,2024-08-30,0.2108,0.4125,1.0166,-0.1,0.3952,0.003646,0.003582,0.003541
2024-06-14,2024-07-05,0.0575,0.4111,1.0032,0.1,0.2174,0.00551,0.003429,0.00577
2024-06-14,2024-06-28,0.0383,0.3956,1.0044,0.1,0.2671,0.016823,0.015493,0.015493
2024-06-14,2024-06-21,0.0192,0.3429,5.7073,0.1,0.1103,0.008841,0.010978,0.013275
2024-06-21,2024-07-05,0.0383,0.3846,1.0047,-0.1,0.2414,0.006629,0.007126,0.003121
2024-06-21,2024-07-12,0.0575,0.4026,1.0045,0.1,0.2289,0.005268,0.004077,0.004214
2024-06-21,2024-07-26,0.0958,0.4096,1.0073,-0.1,0.2816,0.003163,0.002824,0.006631
2024-06-21,2024-08-30,0.1916,0.4179,1.0055,-0.1,0.3719,0.003465,0.004311,0.003412
2024-06-21,2024-09-27,0.2683,0.4508,1.0146,-0.1,0.3658,0.008632,0.002838,0.002834
