instrument,currency,expiry,strike,option_type,T,underlying_price,mark_iv,bid_iv,ask_iv,mark_price,open_interest,volume,moneyness
BTC-29MAY26-75000-C,BTC,2026-05-29,75000.0,C,0.2010126952772074,74290.2989,0.4932,0.4905,0.496,0.084,212.5,0.5,1.0095530790763854
BTC-29MAY26-76000-C,BTC,2026-05-29,76000.0,C,0.20101268248586712,74290.2044,0.4907,0.4863,0.4946,0.0778,54.8,27.4,1.0230150881103242
BTC-29MAY26-77000-C,BTC,2026-05-29,77000.0,C,0.20101266920453392,74293.2822,0.48840000000000006,0.4858,0.4914,0.072,79.0,4.1,1.0364328741421522
BTC-29MAY26-78000-C,BTC,2026-05-29,78000.0,C,0.20101265701168655,74294.3678,0.486,0.48090000000000005,0.4893,0.0664,95.4,8.1,1.0498777001505084
BTC-29MAY26-79000-C,BTC,2026-05-29,79000.0,C,0.2010126437736393,74290.2044,0.48369999999999996,0.48,0.4857,0.0612,69.5,0.8,1.0633972626409949
BTC-29MAY26-80000-C,BTC,2026-05-29,80000.0,C,0.2010126315494841,74294.3678,0.48369999999999996,0.4772,0.4858,0.0566,159.1,1.2,1.0767976411800086
BTC-29MAY26-81000-C,BTC,2026-05-29,81000.0,C,0.2010126191649555,74290.2989,0.4832,0.4758,0.4817,0.0523,158.1,2.7,1.0903173254024963
BTC-29MAY26-82000-C,BTC,2026-05-29,82000.0,C,0.2010126057722387,74293.2822,0.4817,0.4756,0.4815,0.048,213.8,5.2,1.1037337101254088
BTC-29MAY26-83000-C,BTC,2026-05-29,83000.0,C,0.20101259259075469,74289.6244,0.48009999999999997,0.4739,0.4799,0.044,203.3,3.1,1.117248884623517
BTC-29MAY26-84000-C,BTC,2026-05-29,84000.0,C,0.20101258025448704,74289.6244,0.4778,0.4704,0.47659999999999997,0.0401,226.5,115.0,1.13070971455874
BTC-29MAY26-85000-C,BTC,2026-05-29,85000.0,C,0.20101256786159277,74293.2822,0.4781,0.46840000000000004,0.478,0.0369,371.3,52.1,1.1441142117153629
BTC-29MAY26-86000-C,BTC,2026-05-29,86000.0,C,0.20101255577391816,74289.6244,0.4767,0.4682,0.47479999999999994,0.0337,117.6,13.1,1.1576313744291862
BTC-29MAY26-88000-C,BTC,2026-05-29,88000.0,C,0.20101253748067027,74276.58,0.4743,0.4669,0.474,0.028,110.3,12.9,1.1847610646586044
BTC-29MAY26-90000-C,BTC,2026-05-29,90000.0,C,0.20101252332347835,74272.7656,0.4744,0.467,0.4747,0.0235,58.5,3.2,1.211749680693188
BTC-29MAY26-92000-C,BTC,2026-05-29,92000.0,C,0.2010125056919094,74272.7656,0.4736,0.4654,0.4739,0.0195,246.5,14.6,1.238677451375259
BTC-29MAY26-94000-C,BTC,2026-05-29,94000.0,C,0.20101249366526605,74270.8978,0.47340000000000004,0.4628,0.4721,0.0161,539.9,22.0,1.2656370501017424
BTC-29MAY26-95000-C,BTC,2026-05-29,95000.0,C,0.20101248095609298,74268.8756,0.47590000000000005,0.4667,0.4764,0.0149,741.7,10.8,1.2791361015299927
BTC-29MAY26-96000-C,BTC,2026-05-29,96000.0,C,0.20101246843007706,74268.8756,0.4746,0.4646,0.47490000000000004,0.0135,19.6,10.1,1.2926006920724138
BTC-26JUN26-55000-C,BTC,2026-06-26,55000.0,C,0.27767217817559003,74438.68,0.5787,0.5625,0.59,0.2833,150.2,0.0,0.7388631824207523
