date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-05-03,2024-05-10,0.0192,0.3118,7.9747,0.0001,5.0,0.0194,0.023169,0.008737,0.008236
2024-05-03,2024-05-24,0.0575,0.1528,7.9488,1.0013,4.9772,-0.056,0.006487,0.005921,0.00425
2024-05-10,2024-05-17,0.0192,0.2597,7.9289,0.0811,5.0,-0.0312,0.033576,0.014523,0.011905
2024-05-10,2024-05-24,0.0383,0.1935,8.1496,0.7321,5.0,-0.2049,0.00895,0.00665,0.005689
2024-05-10,2024-05-31,0.0575,0.3591,7.9282,0.0046,3.7307,-0.1399,0.011104,0.011078,0.011078
2024-05-10,2024-06-28,0.1342,0.523,7.9499,0.0001,2.5872,-0.103,0.005328,0.005805,0.005806
2024-05-10,2024-07-26,0.2108,0.1013,7.9989,0.489,1.0177,0.3355,0.005797,0.005735,0.005735
2024-05-10,2024-09-27,0.3833,0.4028,0.9991,0.0996,0.3246,0.0673,0.003358,0.001952,0.001708
2024-05-17,2024-07-26,0.1916,0.4131,0.965,0.0587,1.6028,0.0974,0.006243,0.0077,0.006284
2024-05-17,2024-06-28,0.115,0.4127,2.9502,0.0059,2.5081,0.069,0.006808,0.005789,0.005789
2024-05-17,2024-06-07,0.0575,0.3694,7.9658,0.0153,3.5919,0.0216,0.007494,0.007289,0.007438
2024-05-17,2024-05-24,0.0192,0.2732,7.9699,0.0001,5.0,0.0821,0.026339,0.014943,0.014942
2024-05-17,2024-05-31,0.0383,0.2383,7.9597,0.6112,5.0,0.0707,0.006558,0.00607,0.006766
2024-05-24,2024-05-31,0.0192,0.2443,7.9669,0.0001,5.0,0.0956,0.027482,0.014823,0.014823
2024-05-24,2024-06-07,0.0383,0.0844,8.0022,1.2236,5.0,-0.106,0.014944,0.013039,0.013011
2024-05-24,2024-06-14,0.0575,0.2556,7.9633,0.2443,2.6668,-0.0008,0.009175,0.008416,0.008414
2024-05-24,2024-06-28,0.0958,0.3573,7.9995,0.0693,1.041,0.3229,0.00309,0.003093,0.00302
2024-05-24,2024-07-26,0.1725,0.3831,2.9971,0.0829,1.0669,0.3141,0.006423,0.006445,0.006463
2024-05-24,2024-09-27,0.345,0.1082,8.0003,0.516,0.9999,0.3002,0.004775,0.004028,0.003805
2024-05-31,2024-07-26,0.1533,0.427,7.9988,0.111,0.3695,0.3366,0.009358,0.003397,0.003383
2024-05-31,2024-08-30,0.2491,0.0967,7.9999,0.4957,1.0,0.2997,0.003482,0.003353,0.003353
2024-05-31,2024-06-28,0.0767,0.3505,7.9823,0.0177,2.4011,-0.0701,0.004903,0.004343,0.004343
2024-05-31,2024-09-27,0.3258,0.3975,0.9991,0.0975,0.3495,0.3443,0.003057,0.003189,0.003081
2024-05-31,2024-06-14,0.0383,0.0003,7.9673,1.6557,4.5601,-0.0795,0.007882,0.00645,0.005098
2024-05-31,2024-06-21,0.0575,0.2351,7.993,0.258,2.473,-0.0717,0.003899,0.003605,0.003958
2024-05-31,2024-06-07,0.0192,0.0883,8.0775,1.4584,5.0,0.0472,0.026421,0.014506,0.009901
2024-06-07,2024-06-14,0.0192,0.1175,7.9436,1.1721,2.1781,0.999,0.023142,0.010793,0.008271
2024-06-07,2024-06-21,0.0383,0.2044,7.9775,0.4148,2.8838,0.0717,0.011384,0.010317,0.010306
2024-06-07,2024-06-28,0.0575,0.1031,8.1362,0.9578,4.5703,0.0138,0.018557,0.017292,0.017292
2024-06-07,2024-07-26,0.1342,0.4046,7.9988,0.087,1.0388,0.3706,0.006272,0.005188,0.005147
2024-06-07,2024-08-30,0.23,0.4052,3.0008,0.1091,0.9791,0.2284,0.004153,0.004107,0.002941
2024-06-07,2024-09-27,0.3066,0.0978,7.9999,0.4962,1.0002,0.3,0.006875,0.005237,0.005237
2024-06-14,2024-07-26,0.115,0.1146,7.9997,0.4224,1.1557,0.6141,0.007252,0.006973,0.006974
